Forme,Lemme,Cat,Genre,Nb,Pers,Temps,Spec,Fonc,Gvn/Dist/Aux,Graph,Lang,Cmp,FLX,DRV,UNAMB,Ref,Sem,Info/Accent
aimant,aimer,V,,,,G,,,a,,,,AIMER
fleurîmes,fleurir,V,,p,1,PS,,,a,,,,FLEURIR
fleurîtes,fleurir,V,,p,2,PS,,,a,,,,FLEURIR
fleurirent,fleurir,V,,p,3,PS,,,a,,,,FLEURIR
fleurisse,fleurir,V,,s,1,IS,,,a,,,,FLEURIR
fleurisses,fleurir,V,,s,2,IS,,,a,,,,FLEURIR
fleurît,fleurir,V,,s,3,IS,,,a,,,,FLEURIR
fleurissions,fleurir,V,,p,1,IS,,,a,,,,FLEURIR
fleurissiez,fleurir,V,,p,2,IS,,,a,,,,FLEURIR
fleurissent,fleurir,V,,p,3,IS,,,a,,,,FLEURIR
fleuris,fleurir,V,,s,1,PR,,,a,,,,FLEURIR
fleuris,fleurir,V,,s,2,PR,,,a,,,,FLEURIR
fleurit,fleurir,V,,s,3,PR,,,a,,,,FLEURIR
fleuris,fleurir,V,,s,2,IP,,,a,,,,FLEURIR
fleuri,fleurir,V,m,s,,PP,,,a,,,,FLEURIR
fleurie,fleurir,V,f,s,,PP,,,a,,,,FLEURIR
fleuris,fleurir,V,m,p,,PP,,,a,,,,FLEURIR
fleuries,fleurir,V,f,p,,PP,,,a,,,,FLEURIR
fleurissons,fleurir,V,,p,1,PR,,,a,,,,FLEURIR
fût,être,V,,s,3,IS,x,,a,,,,ETRE
fussions,être,V,,p,1,IS,x,,a,,,,ETRE
fussiez,être,V,,p,2,IS,x,,a,,,,ETRE
fussent,être,V,,p,3,IS,x,,a,,,,ETRE
étais,être,V,,s,1,I,x,,a,,,,ETRE
étais,être,V,,s,2,I,x,,a,,,,ETRE
était,être,V,,s,3,I,x,,a,,,,ETRE
étions,être,V,,p,1,I,x,,a,,,,ETRE
étiez,être,V,,p,2,I,x,,a,,,,ETRE
